binomial_acc_name,Growth_Form_Kew,Growth_Form_Secondary,Growth_Form_SecondarySource,Growth_Form_Final
Bidens parviflora,Herb,,,Herb
Bouteloua gracilis,Grass,,,Grass
Brachiaria community,NA,,,NA
Brachiaria decumbens,Grass,,,Grass
Brachypodium pinnatum,Grass,,,Grass
Bromus erectus,Grass,,,Grass
Bromus inermis,Grass,,,Grass
Bromus madritensis,Grass,,,Grass
Bromus NA,Grass,,,Grass
Cajanus cajan,Shrub,,,Shrub
Cajanus sp,Shrub,,,Shrub
Camellia oleifera,Shrub,,,Shrub
Caragana korshinskii,Shrub,,,Shrub
Carex pseudofoetida,Herb,,,Herb
Carpobrotus chilensis,Herb,,,Herb
"Castanopsis eyrei, Schima superba, Lithocarpus glaber NA",NA,,,NA
Cedrus atlantica,Tree,,,Tree
Centaurea maculosa,Herb,,,Herb
Chamaenerion fleischeri,Herb,,,Herb
Choerospondias axillaris,Tree,,,Tree
Chrysanthemum leucanthemum,,,,
Cinchona sp,Tree,,,Tree
Cinnamomum austrosinense,Tree,,,Tree
Cinnamomum camphora,Tree,,,Tree
Cinnamomum porrectum,Tree,,,Tree
Citrus reticulata,Tree,,,Tree
Citrus sinensis,Tree,,,Tree
Citrus tangerina,Tree,,,Tree
Citrus trifoliata,Tree,,,Tree
Cleistogenes squarrosa,Grass,,,Grass
Clidemia hirta,Shrub,,,Shrub
Coffea arabica,Tree,,,Tree
Coffee arabica,Tree,,,Tree
community community,NA,,,NA
Conyza sumatrensis,Herb,,,Herb
Corynephorus canescens,Grass,,,Grass
Crotalaria ochroleuca,Shrub,,,Shrub
Crotalaria sp,Herb,,,Herb
Cucumis sativus,Herb,,,Herb
Cunninghamia lanceolata,Tree,,,Tree
Cupressus atlantica,Tree,,,Tree
Daucus carota,Herb,,,Herb
Delavaya toxocarpa,Tree,,,Tree
Deyeuxia curvula,Grass,,,Grass
Dianthus carthusianorum,Grass,,,Grass
Dichanthelium lanuginosum,Grass,,,Grass
Digitaria eriantha,Grass,,,Grass
Elaeocarpus glabripetalus,Tree,,,Tree
Erodium cicutarium,,Herb,https://www.calflora.org/app/taxon?crn=3448,Herb
Fabiana squamata,Shrub,,,Shrub
Festuca arundinacea,Grass,,,Grass
Festuca deserticola,Grass,,,Grass
Festuca idahoensis,Grass,,,Grass
Fragaria virginiana,Herb,,,Herb
Gliricidia sepium,Tree,,,Tree
Glycine max,Herb,,,Herb
Glycine soya,Herb,,,Herb
Gossypium herbaceum,Shrub,,,Shrub
Gossypium hirsutum,Shrub,,,Shrub
Gutierrezia sarothrae,,Shrub,https://www.wildflower.org/plants/result.php?id_plant=gusa2,Shrub
Helianthus annus,Herb,,,Herb
Heteropappus hispidus,Herb,,,Herb
Hieracium pilosella,Herb,,,Herb
Hordeum vulgare,Grass,,,Grass
Hypochaeris radicata,Herb,,,Herb
Indigofera volkensii,Shrub,,,Shrub
Ipomoea batatas,Herb,,,Herb
Juglans regia,Tree,,,Tree
"Kobresia humulis, Elymus nutans, Avena sativa, Vicia sativa NA",NA,,,NA
Kobresia NA,Herb,,,Herb
Kobresia pygmaea,Herb,,,Herb
Koeleria cristata,Herb,,,Herb
Lactuca sativa,Herb,,,Herb
Lampaya medicinalis,Shrub,,,Shrub
Larrea tridentata,Shrub,,,Shrub
Leontopodium nanum,,Herb,https://www.frontiersin.org/journals/plant-science/articles/10.3389/fpls.2023.1163065/full,Herb
Lespedeza capitata,,Herb,https://www.jstor.org/stable/23310979,Herb
Leymus chinensis,Grass,,,Grass
Leymus chinensis/Stipa grandis NA,Grass,,,Grass
Ligularia virgaurea,,Herb,https://link.springer.com/article/10.1007/s11104-011-0818-7,Herb
Linum usitatissimum,Herb,,,Herb
Liquidambar formosana,Tree,,,Tree
Lolium perenne,Grass,,,Grass
"Lolium perenne, Trifolium pratense, Plantago lanceolata, Hieracium pilosella NA",NA,,,NA
"Lolium perenne, Trifolium pratense, Plantago lanceolata, Hieracium pilosella perenne",NA,,,NA
Lolium rigidum,Grass,,,Grass
Lotus tenuis,Herb,,,Herb
Lupinus perennis,Herb,,,Herb
Lycopersicon chilense,Herb,,,Herb
Lycopersicon esculentum,Herb,,,Herb
Machilus oculodracontis,Tree,,,Tree
Malus domestica,Tree,,,Tree
Manglietia yuyuanensis,Tree,,,Tree
Medicago lupulina,Herb,,,Herb
Medicago sativa,Herb,,,Herb
Medicago truncatula,Herb,,,Herb
Metrosideros polymorpha,Shrub,,,Shrub
Mimulus guttatus,Herb,,,Herb
Miscanthus giganteus,Grass,,,Grass
Mixed indigenous community,NA,,,NA
Mixed NA,NA,,,NA
Mixed-Crop NA,NA,,,NA
Natural community,NA,,,NA
Neolitsea phanerophlebia,Tree,,,Tree
Nicotiana tabacum,Herb,,,Herb
Olea europaea,Tree,,,Tree
Oryza sativa,Grass,,,Grass
Panicum sp,Grass,,,Grass
Panicum virgatum,Grass,,,Grass
Parastrephia lucida,Herb,,,Herb
Parastrephia quadrangularis,Herb,,,Herb
Pascopyrum smithii,Grass,,,Grass
Peltophorum dasyrachis,Tree,,,Tree
Pennisetum centrasiaticum,Grass,,,Grass
Petalostemum villosum,Herb,,,Herb
Phyllanthus calycinus,Shrub,,,Shrub
Pinus ponderosa,Tree,,,Tree
Pisum sativum,Herb,,,Herb
Plantago asiatica,Herb,,,Herb
Plantago lanceolata,Herb,,,Herb
"Plantago lanceolata, Plantago major, Poa pratensis, Poa annua NA",NA,,,NA
Poa pratensis,Grass,,,Grass
Polygonum maritimum,Shrub,,,Shrub
Poncirus trifoliata,Tree,,,Tree
Populus euramericana,Tree,,,Tree
Populus tremuloides,Tree,,,Tree
Potentilla argentea,,Herb,https://www.floravannederland.nl/planten/viltganzerik,Herb
Potentilla bifurca,,Herb,https://www.floravannederland.nl/planten/viltganzerik,Herb
Prosopis tamarugo,Tree,,,Tree
Prunella vulgaris,Herb,,,Herb
Prunus persica,Tree,,,Tree
Psathyrostachys juncea,Grass,,,Grass
Psathyrostachys junceus,Grass,,,Grass
Pseudobombax septenatum,Tree,,,Tree
Pseudoroegneria spicata,Grass,,,Grass
Quercus agrifolia,Tree,,,Tree
Robinia pseudoacacia,Tree,,,Tree
Rudbeckia hirta,Herb,,,Herb
Salix psammophila,,Shrub,https://temperate.theferns.info/plant/Salix+psammophila,Shrub
"Salix, populus NA",NA,,,NA
Schima superba,Tree,,,Tree
Schizachyrium scoparium,Grass,,,Grass
Secale cereale,Grass,,,Grass
Secale creale/avena sativa NA,Grass,,,Grass
Seeded community,NA,,,NA
Senecio nutans,,Shrub,https://www.sciencedirect.com/science/article/pii/S0378874122007863?via%3Dihub,Shrub
Solanum lycopersicum,Shrub,,,Shrub
Solanum torvum,Shrub,,,Shrub
Solanum tuberosum,Herb,,,Herb
Solidago canadensis,,Herb,https://www.sciencedirect.com/science/article/pii/S0141813012003753?casa_token=wcKEcbk2BDQAAAAA:Dpoyqyi0l4XRN0FKlV7_qTaq187O1pDUOcgq4vTWuNB2UDg70n4lPkwp8l-VHlHVsvW_gNG1Y-4,Herb
Solidago rigida,,Shrub,https://www.phytoneuron.net/wp-content/uploads/2021/08/10PhytoN-SolidagoClassification2021.pdf,Shrub
Sophora viciifolia,Shrub,,,Shrub
Sorghastrum nutans,Grass,,,Grass
Sorghum bicolor,Grass,,,Grass
Sorghum biocolor,Grass,,,Grass
Sorghum sp,Grass,,,Grass
Stipa baicalensis,Grass,,,Grass
Stipa grandis,Grass,,,Grass
"Stipa grandis, Leymus chinensis NA",Grass,,,Grass
Stipa klemenzii,Grass,,,Grass
Stipa purpurea,Grass,,,Grass
Stipa tenacissima,Grass,,,Grass
Suaeda physophora,Shrub,,,Shrub
Taeniatherum caput-medusae,Grass,,,Grass
Taxus chinensis,Tree,,,Tree
Themeda triandra,Grass,,,Grass
Toona sinensis,Tree,,,Tree
Trifoliate orange,Tree,,,Tree
Trifolium arvense,Herb,,,Herb
Trifolium community,Herb,,,Herb
Trifolium microcephalum,Herb,,,Herb
Trifolium pratense,Herb,,,Herb
Trifolium repens,Herb,,,Herb
Trifolium subterraneum,Herb,,,Herb
"Trifolium, Lolium repens, perenne",Herb,,,Herb
Triticum aestivum,Grass,,,Grass
"Triticum aestivum, Avena sativa NA",Grass,,,Grass
Triticum community,Grass,,,Grass
Triticum durum,Grass,,,Grass
Triticum durum + Vicia faba NA,NA,,,NA
Triticum durum/Vicia faba NA,NA,,,NA
"Triticum turgidam, Zeamays NA",Grass,,,Grass
Triticum turgidum,Grass,,,Grass
Triticum urartu,Grass,,,Grass
"Triticum,Lupinus community",NA,,,NA
Urena lobata,Shrub,,,Shrub
Vicia faba,Herb,,,Herb
Vicia villosa,Herb,,,Herb
Werneria pinnatifda,Herb,,,Herb
Werneria poposa,Shrub,,,Shrub
Zea mays,Grass,,,Grass
Zea NA,Grass,,,Grass
(blank),NA,,,NA
